Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Element Type","Temperature Range","Length - Lead Wire","Conductor Type","Terminal Type"
-,//media.digikey.com/Photos/National%20Control%20Devices/MFG_PR55-19B.jpg,2273-PR55-19B-ND,PR55-19B,ncd.io,3-CHANNEL TEMPERATURE SENSOR,5,0,"289.95000","0","1","Box","PR55","Active","K - Type","-","-","-","-"
https://ncd.io/long-range-iot-wireless-thermocouple-sensor-product-manual/,//media.digikey.com/Photos/National%20Control%20Devices/MFG_PR55-3.jpg,2273-PR55-3-ND,PR55-3,ncd.io,THERMOCOUPLE TEMPERATURE SENSOR,5,0,"309.95000","0","1","Box","PR55","Active","-","-","-","-","-"
http://www.cynergy3.com/sites/default/files/IWTT%202018.pdf,-,725-1712-ND,IWTTJ200A,Cynergy 3,TEMP SENSOR WIFI J TYPE 6X200MM,2,0,"379.77000","0","1","-","IWTT","Active","J - Type","0 ~ 1200°C","-","Non-Grounded","Enclosed Terminals"
http://www.cynergy3.com/sites/default/files/IWTT%202018.pdf,-,725-1713-ND,IWTTJ300A,Cynergy 3,TEMP SENSOR WIFI J TYPE 6X300MM,2,0,"379.77000","0","1","-","IWTT","Active","J - Type","0 ~ 1200°C","-","Non-Grounded","Enclosed Terminals"
http://www.cynergy3.com/sites/default/files/IWTT%202018.pdf,-,725-1714-ND,IWTTJ400A,Cynergy 3,TEMP SENSOR WIFI J TYPE 6X400MM,2,0,"379.77000","0","1","-","IWTT","Active","J - Type","0 ~ 1200°C","-","Non-Grounded","Enclosed Terminals"
http://www.cynergy3.com/sites/default/files/IWTT%202018.pdf,-,725-1715-ND,IWTTK150A,Cynergy 3,TEMP SENSOR WIFI K TYPE 6X150MM,2,0,"379.77000","0","1","-","IWTT","Active","K - Type","0 ~ 1350°C","-","Non-Grounded","Enclosed Terminals"
http://www.cynergy3.com/sites/default/files/IWTT%202018.pdf,-,725-1716-ND,IWTTK200A,Cynergy 3,TEMP SENSOR WIFI K TYPE 6X200MM,2,0,"379.77000","0","1","-","IWTT","Active","K - Type","0 ~ 1350°C","-","Non-Grounded","Enclosed Terminals"
http://www.cynergy3.com/sites/default/files/IWTT%202018.pdf,-,725-1717-ND,IWTTK300A,Cynergy 3,TEMP SENSOR WIFI K TYPE 6X300MM,2,0,"379.77000","0","1","-","IWTT","Active","K - Type","0 ~ 1350°C","-","Non-Grounded","Enclosed Terminals"
http://www.cynergy3.com/sites/default/files/IWTT%202018.pdf,-,725-1718-ND,IWTTK400A,Cynergy 3,TEMP SENSOR WIFI K TYPE 6X400MM,2,0,"379.77000","0","1","-","IWTT","Active","K - Type","0 ~ 1350°C","-","Non-Grounded","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/IWTTU%202017.pdf,//media.digikey.com/Photos/Cynergy%203/MFG_IWTTP100A.jpg,725-1725-ND,IWTTUJ200A,Cynergy 3,TEMP SENSOR WIFI J TYPE 6X200MM,2,0,"379.77000","0","1","-","IWTTU","Active","J - Type","0 ~ 1200°C","-","Non-Grounded","Enclosed Terminals"
